response_date,version,treated_session_id,document_group,reference,id,com_req_id,com_req_code,title_short,case_filed_id,last_update_date,status,title,type,session_id,committee_id
2022-06-03T12:23:59.637548+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:11 (2019-2020), Innst. 411 S (2021-2022)",80347,15534,innstilling_s,"Grunnlovsforslag om endringer av Grunnloven §§ 14, 50, 53 til 64, 71 og 72 (Valglovutvalgets forslag i NOU 2020: 6 Frie og hemmelige valg - ny valglov)",80347,2022-05-24T00:00:00,behandlet,"Grunnlovsforslag fra Dag Terje Andersen, Eva Kristin Hansen, Magne Rommetveit, Svein Harberg, Bente Stein Mathisen, Solveig Horne, Terje Breivik og Ulf Leirstein om endringer av Grunnloven §§ 14, 50, 53 til 64, 71 og 72 (Valglovutvalgets forslag i NOU 2020: 6 Frie og hemmelige valg - ny valglov)",alminneligsak,2019-2020,KONTROLL
2022-06-03T12:23:59.637548+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:13 (2019-2020), Innst. 411 S (2021-2022)",80331,15534,innstilling_s,"Grunnlovsforslag om endring i §§ 12, 50 og 61 (innføring av 16 års stemmerettsalder)",80331,2022-05-24T00:00:00,behandlet,"Grunnlovsforslag fra Freddy André Øvstegård, Mona Fagerås, Lars Haltbrekken, Kari Elisabeth Kaski og Solfrid Lerbrekk om endring i §§ 12, 50 og 61 (innføring av 16 års stemmerettsalder)",alminneligsak,2019-2020,KONTROLL
2022-06-03T12:23:59.637548+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:4 (2019-2020), Innst. 411 S (2021-2022)",80279,15534,innstilling_s,Grunnlovsforslag om endring i § 59 (sperregrense på fem prosent for utjevningsmandater),80279,2022-05-24T00:00:00,behandlet,Grunnlovsforslag fra Roy Steffensen om endring i § 59 (sperregrense på fem prosent for utjevningsmandater),alminneligsak,2019-2020,KONTROLL
2022-06-03T12:23:59.637548+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:16 (2019-2020), Innst. 411 S (2021-2022)",81211,15534,innstilling_s,Grunnlovsforslag om endring i § 59 (om lavere sperregrense for utjevningsmandater),81211,2022-05-24T00:00:00,behandlet,Grunnlovsforslag fra Bjørnar Moxnes om endring i § 59 (om lavere sperregrense for utjevningsmandater),alminneligsak,2019-2020,KONTROLL
2022-06-03T12:23:59.637548+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:26 (2019-2020), Innst. 411 S (2021-2022)",81222,15534,innstilling_s,"Grunnlovsforslag om endring i §§ 54, 68 og 121 (om å tillate nyvalg midt i en stortingsperiode)",81222,2022-05-24T00:00:00,behandlet,"Grunnlovsforslag fra Himanshu Gulati om endring i §§ 54, 68 og 121 (om å tillate nyvalg midt i en stortingsperiode)",alminneligsak,2019-2020,KONTROLL
2022-06-03T12:23:59.637548+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:27 (2019-2020), Innst. 410 S (2021-2022)",81223,15526,innstilling_s,Grunnlovsforslag om endring i §§ 25 og 26 (om forsvarsmakten og utenriksstyret),81223,2022-05-24T00:00:00,behandlet,"Grunnlovsforslag fra Anniken Huitfeldt, Martin Kolberg, Marianne Marthinsen, Jette F. Christensen, Trine Skei Grande, Terje Breivik og Geir Sigbjørn Toskedal om endring i §§ 25 og 26 (om forsvarsmakten og utenriksstyret)",alminneligsak,2019-2020,KONTROLL
2022-06-03T12:24:00.2469275+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:28 (2019-2020), Innst. 409 S (2021-2022)",81224,15538,innstilling_s,Grunnlovsforslag om endring i § 25 (om forbud mot atomvåpen på norsk jord),81224,2022-05-24T00:00:00,behandlet,"Grunnlovsforslag fra Petter Eide, Solfrid Lerbrekk, Kari Elisabeth Kaski, Audun Lysbakken, Karin Andersen, Lars Haltbrekken, Mona Fagerås og Nicholas Wilkinson om endring i § 25 (om forbud mot atomvåpen på norsk jord)",alminneligsak,2019-2020,KONTROLL
2022-06-03T12:24:00.2469275+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:22 (2019-2020), Innst. 410 S (2021-2022)",81218,15526,innstilling_s,Grunnlovsforslag om endring i § 25 (om mer åpenhet om norsk krigsdeltakelse i utlandet),81218,2022-05-24T00:00:00,behandlet,"Grunnlovsforslag fra Kari Elisabeth Kaski, Audun Lysbakken, Petter Eide, Lars Haltbrekken, Arne Nævra, Karin Andersen og Nicholas Wilkinson om endring i § 25 (om mer åpenhet om norsk krigsdeltakelse i utlandet)",alminneligsak,2019-2020,KONTROLL
2022-06-03T12:24:00.2469275+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:23 (2019-2020), Innst. 411 S (2021-2022)",81219,15534,innstilling_s,Grunnlovsforslag om endring i § 57 (om valgdistrikt),81219,2022-05-24T00:00:00,behandlet,Grunnlovsforslag fra Freddy André Øvstegård om endring i § 57 (om valgdistrikt),alminneligsak,2019-2020,KONTROLL
2022-06-03T12:24:00.2469275+02:00,1.6,2021-2022,grunnlovsforslag,"Dokument 12:38 (2019-2020), Innst. 302 S (2021-2022)",81236,15407,innstilling_s,"Grunnlovsforslag om endring i §§ 1, 3 til 9, 11 til 15, 17 til 32, 34 til 37, 39 til 41, 43 til 48, 62, 67 til 69, 74 til 82, 86 og 121 (om republikk)",81236,2022-05-10T00:00:00,behandlet,"Grunnlovsforslag fra Solfrid Lerbrekk, Kari Elisabeth Kaski, Torstein Tvedt Solberg, Anette Trettebergstuen, Åsmund Aukrust, Heidi Nordby Lunde, Sivert Bjørnstad, Jon Gunnes, Ketil Kjenseth og Trine Skei Grande om endring i §§ 1, 3 til 9, 11 til 15, 17 til 32, 34 til 37, 39 til 41, 43 til 48, 62, 67 til 69, 74 til 82, 86 og 121 (om republikk)",alminneligsak,2019-2020,KONTROLL
